num_http,num_get,num_post,num_request_to_malware,other_format_inbetween,fake_format,exe_referer,exe_post,url_entropy,path_num,path_length,path_entropy,param_num,param_length,param_entropy,exe_entropy,exe_functions,exe_virustotal,dns_entropy,dns_availability,dns_email_entropy,dns_alexa,dns_blacklist,dns_tld,results
25,20,3,25,0,0,1,0,0.562919912613,6,11.6666666667,0.205534475902,0,0.0,0.0,7.98392615777,6,0,0.446010544843,1,0,1,0,1,1
160,157,3,160,0,0,1,0,0.674423843606,7,13.1428571429,0.213368604682,2,19.0,0.16355041876,6.58233188915,4,0,0.441896795832,0,0.487198366009,1,0,1,1
1,1,0,1,0,0,0,0,0.493301055415,5,10.2,0.308834221144,0,0.0,0.0,7.72773096057,6,0,0.51719216119,0,0.487198366009,1,0,1,1
1,1,0,1,0,0,0,0,0.538884273398,4,10.5,0.363916964289,0,0.0,0.0,7.99965348756,6,0,0.415403935651,0,0.496321643868,1,0,1,1
152,151,1,152,0,0,1,0,0.628539879018,7,5.28571428571,0.193248716641,2,11.1428571429,0.146064772054,7.91634225998,7,0,0.467619158927,0,0.487198366009,1,0,1,1
149,146,3,149,0,0,1,0,0.490931305948,3,16.0,0.387681637326,0,0.0,0.0,7.99186866267,8,0,0.41579504728,0,0.446558677749,1,0,1,1
60,59,1,60,0,0,1,0,0.625638790203,4,13.75,0.289105986988,0,0.0,0.0,7.99688211073,4,0,0.431852795396,0,0.55871778335,1,0,1,1
252,232,20,252,0,0,1,0,0.599417806146,7,5.57142857143,0.190420227713,2,11.4285714286,0.142155465995,7.99984843226,7,1,0.467619158927,0,0.487198366009,1,0,1,1
229,206,23,229,0,0,1,0,0.615293246294,7,5.71428571429,0.193658606043,2,11.5714285714,0.145873473988,7.97356082938,7,0,0.441896795832,0,0.487198366009,1,0,1,1
172,168,4,172,0,0,1,0,0.592987948459,7,4.14285714286,0.18604099747,2,10.0,0.142441831039,7.96874364121,7,0,0.467619158927,0,0.487198366009,1,0,1,1
26,20,4,26,0,0,1,0,0.59758998772,6,12.6666666667,0.205577444343,0,0.0,0.0,7.65147000137,3,0,0.446010544843,1,0,1,0,1,1
177,174,3,177,0,0,1,0,0.60505557819,7,4.42857142857,0.184372549905,2,10.2857142857,0.142057835564,7.99983226032,7,0,0.467619158927,0,0.487198366009,1,0,1,1
26,20,4,26,0,0,1,0,0.609738746055,6,13.3333333333,0.21624996986,0,0.0,0.0,6.62060016252,3,0,0.446010544843,1,0,1,0,1,1
168,164,4,168,0,0,1,0,0.533072311579,3,10.6666666667,0.304312869834,0,0.0,0.0,7.9704511066,6,0,0.353477440821,0,0.424093409995,1,0,1,1
1,1,0,1,0,0,0,0,0.488805041205,2,20.0,0.434583126954,0,0.0,0.0,7.99886071349,5,0,0.415977440821,0,0.446558677749,1,0,1,1
