"Num_of_http_request","Num of get request","Num of post request","Num requests between first html response and malware response","if_there_other_format_between_exe_html","if exist fake_format(Pretending action)","if exist refer_header_for_malware_request","entropy_of_downloadmalware_url","request_parameters","request_parameters_length","Get or Post request","Have_exe_file","entropy_of_exe_file","suspicious functions","vt positive results","availability","DN entropy","result"
"0","0","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"48","24","0","17","1","0","0","0.557239946","1","15","0","1","7.087389685","8","50","0","0.527520947","0"
"184","92","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"208","92","8","89","1","0","0","0.5522715","1","17","0","1","7.817194637","5","51","0","0.526345584","0"
"152","72","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"280","132","8","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"392","188","8","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"328","160","4","103","1","0","0","0.485022501","1","9","0","1","7.412926507","5","40","0","0.398590237","0"
"168","76","4","73","1","0","0","0.574441672","1","16","0","1","7.811187589","5","47","0","0.540838312","0"
"96","48","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"96","44","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"104","52","0","31","1","0","0","0.473117739","1","9","0","1","6.29533863","3","47","0","0.377756903","0"
"80","36","4","29","1","0","0","0.540451626","1","15","0","1","7.347806619","1","55","0","0.521036982","0"
"32","16","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"176","88","0","75","1","0","0","0.549602577","1","17","0","1","7.161308122","5","48","0","0.529546132","0"
"152","72","4","47","1","0","0","0.525153963","1","15","0","1","7.437804192","1","53","0","0.48115299","0"
"224","108","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"208","92","8","71","1","0","0","0.51473263","1","23","0","1","7.858764584","5","51","1","0.462554948","0"
"176","76","8","87","1","0","0","0.516090567","1","23","0","1","7.870137026","5","48","0","0.427286982","0"
"0","0","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"48","24","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"104","52","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"280","140","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"0","0","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"208","100","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"0","0","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"160","72","8","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"320","144","16","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"128","60","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"96","48","0","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"32","16","0","0","1","1","0","0","0","0","0","1","-1","-1","21","-1","-1","0"
"64","32","0","0","1","1","0","0","0","0","0","1","-1","-1","21","-1","-1","0"
"112","52","0","0","1","1","0","0","0","0","0","1","-1","-1","21","-1","-1","0"
"176","80","0","0","1","1","0","0","0","0","0","1","-1","-1","22","-1","-1","0"
"136","68","0","57","1","0","0","0.482933157","1","9","0","1","7.425705076","0","50","0","0.40625","0"
"240","116","4","89","0","0","0","0.496200911","1","21","0","1","7.208918754","1","52","0","0.4375","0"
"552","276","0","195","0","0","0","0.482636985","1","32","0","1","7.387083438","1","52","0","0.359142573","0"
"200","96","4","83","1","0","0","0.525211602","1","15","0","1","6.689469863","2","49","0","0.48192357","0"
