Sample_name,Num_of_http_request,Num of get request,Num of post request,Num requests between first html response and malware response,Time between first html response and malware response,if_there_other_format_between_exe_html,download_malware_time,if exist fake_format(Pretending action),if exist refer_header_for_malware_request,entropy_of_downloadmalware_url,request_parameters,request_parameters_length,Get or Post request,Have_exe_file,entropy_of_exe_file,suspicious functions,vt positive results,Domain_name,availability,DN entropy,creation date,expiration date,lifetime,country,emails entropy,result
2014/02/27/2014-02-26-Angler-EK-traffic-02,40,20,0,9,0:02:11,FALSE,0:00:00,FALSE,FALSE,0.66473882,1,49,FALSE,TRUE,6.611645417,7,55,phisoomythyxiboow.ru:8080,0,0.490482033,,,,,,0
2014/02/28/2014-02-28-Fiesta-EK-traffic,64,28,4,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/01/2014-03-01-Neutrino-EK-traffic,176,36,52,79,0:00:10,TRUE,0:00:00,FALSE,FALSE,0.548098809,1,18,FALSE,TRUE,7.724347483,9,51,chaongoi.fingieng.com:8000,0,0.454023997,,,,,,0
2014/03/02/2014-03-02-Fiesta-EK-traffic,208,104,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/04/2014-03-04-Hello-EK-traffic,0,0,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/05/2014-03-05-Goon-EK-traffic,72,36,0,23,0:00:05,TRUE,0:00:00,FALSE,FALSE,0.506707595,1,13,FALSE,TRUE,5.587436647,3,47,scbreclav.cz,0,0.398590237,,,,,0,0
2014/03/06/2014-03-06-android-malware,32,16,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/07/2014-03-07-Goon-EK-traffic,96,48,0,45,0:00:43,TRUE,0:00:00,FALSE,FALSE,0.498966161,1,18,FALSE,TRUE,7.572421645,5,49,cezar.freha.pl,0,0.404490793,1065609921,1507399200,441789279,,,0
2014/03/08/2014-03-08-Neutrino-EK-traffic,288,136,8,125,1 day: 11:57:23,TRUE,0:00:00,FALSE,FALSE,0.542022859,1,13,FALSE,TRUE,7.79475745,5,51,fixeghoh.koivaino.com:8000,0,0.484142568,,,,,,0
2014/03/09/2014-03-09-Fiesta-EK-traffic-successful-attempt,1480,712,28,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/09/2014-03-09-Fiesta-EK-traffic-successful-attempt,1512,728,28,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/09/2014-03-09-Fiesta-EK-traffic-successful-attempt,1616,780,28,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/10/2014-03-10-Goon-EK-traffic,88,44,0,43,0:01:10,TRUE,0:00:00,FALSE,FALSE,0.520626739,1,9,FALSE,TRUE,4.378858637,0,49,p110501.typo3server.info,0,0.485855276,1061242330,1503091930,441849600,276,0.469158719,0
2014/03/12/2014-03-12-Magnitude-EK-traffic,88,44,0,27,0:00:03,FALSE,0:00:00,FALSE,FALSE,0.46931273,1,32,FALSE,TRUE,7.39345868,0,54,67.196.49.168,0,0.332653274,,,,,0.415403936,0
2014/03/13/2014-03-13-Fiesta-EK-traffic,224,100,12,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/13/2014-03-13-Fiesta-EK-traffic,448,200,24,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
