num_http,num_get,num_post,num_request_to_malware,other_format_inbetween,fake_format,exe_referer,exe_post,url_entropy,path_num,path_length,path_entropy,param_num,param_length,param_entropy,exe_entropy,exe_functions,exe_virustotal,dns_entropy,dns_availability,dns_email_entropy,dns_alexa,dns_blacklist,results
159,158,1,159,0,0,1,0,0.605196237,7,5,0.169701043,2,10.85714286,0.142374701,7.888676976,5,0,0.441896796,0,0.487198366,1,0,0
131,129,2,131,0,0,1,0,0.462230731,3,6.333333333,0.240570184,0,0,0,7.022370522,6,7,0.476707595,0,0.487198366,1,0,0
206,199,7,206,0,0,1,0,0.595039927,7,4.142857143,0.161108129,2,10,0.142159258,7.998534685,7,0,0.441896796,0,0.487198366,1,0,0
164,160,4,164,0,0,1,0,0.604364392,7,4.857142857,0.170936954,2,10.71428571,0.141065468,7.164952052,4,2,0.441896796,0,0.487198366,1,0,0
152,149,3,152,0,0,1,0,0.602909896,7,7.428571429,0.193167736,2,13.28571429,0.146165391,7.999439727,6,1,0.441896796,0,0.487198366,1,0,0
132,131,1,132,0,0,1,0,0.604150017,7,4.428571429,0.180858664,2,10.28571429,0.139823879,7.999711289,8,0,0.441896796,0,0.487198366,1,0,0
152,151,1,152,0,0,1,0,0.628539879,7,5.285714286,0.193248717,2,11.14285714,0.146064772,7.91634226,7,0,0.467619159,0,0.487198366,1,0,0
178,174,4,178,0,0,1,0,0.590579427,7,4.428571429,0.18437255,2,10.28571429,0.145046076,7.998802851,6,1,0.467619159,0,0.487198366,1,0,0
227,212,15,227,0,0,1,0,0.600133623,7,8.571428571,0.193855316,2,14.42857143,0.14585382,7.904762244,5,0,0.467619159,0,0.487198366,1,0,0
175,162,13,175,0,0,1,0,0.601828733,7,5.857142857,0.188745962,2,11.71428571,0.145575525,7.999195833,7,1,0.467619159,0,0.487198366,1,0,0
172,168,4,172,0,0,1,0,0.606722447,7,5.285714286,0.170472132,2,11.14285714,0.144248238,7.853771033,17,1,0.467619159,0,0.487198366,1,0,0
164,162,2,164,0,0,1,0,0.608601607,7,5.428571429,0.178132461,2,11.28571429,0.147972294,7.994803855,7,0,0.441896796,0,0.487198366,1,0,0
162,160,2,162,0,0,1,0,0.52699377,5,9.4,0.204050286,0,0,0,7.993965224,3,1,0.396317986,0,0.469305234,1,0,0
140,139,1,140,0,0,1,0,0.611321625,7,5.142857143,0.19333705,2,11,0.14589087,6.330132661,0,0,0.441896796,0,0.487198366,1,0,0
185,181,4,185,0,0,1,0,0.444441644,1,22,0.430925188,0,0,0,7.999228072,8,4,0.42076141,0,0.446558678,1,0,0
198,184,14,198,0,0,1,0,0.622682606,7,5,0.191526439,2,10.85714286,0.145524624,7.997722671,7,0,0.467619159,0,0.487198366,1,0,0
194,182,12,194,0,0,1,0,0.625737542,7,5.428571429,0.178774372,2,11.28571429,0.149392027,7.998583585,5,0,0.441896796,0,0.487198366,1,0,0
171,167,4,171,0,0,1,0,0.602512264,7,4.285714286,0.181800587,2,10.14285714,0.136943177,7.997990955,7,16,0.441896796,0,0.487198366,1,0,0
166,164,2,166,0,0,1,0,0.624013733,7,7.142857143,0.197830468,2,13,0.151730892,6.917330611,9,0,0.441896796,0,0.487198366,1,0,0
168,166,2,168,0,0,1,0,0.61756074,7,4.428571429,0.169066427,2,10.28571429,0.141581797,7.998325784,7,0,0.467619159,0,0.487198366,1,0,0
165,161,4,165,0,0,1,0,0.497899463,2,15.5,0.401838587,0,0,0,7.950375503,13,0,0.479754986,0,0.446558678,0,0,0
169,166,3,169,0,0,1,0,0.604893402,7,4.857142857,0.190894937,2,10.71428571,0.14274479,7.999855856,6,0,0.441896796,0,0.487198366,1,0,0
178,175,3,178,0,0,1,0,0.620824364,7,6.571428571,0.200906284,2,12.42857143,0.154416732,7.976343911,7,0,0.441896796,0,0.487198366,1,0,0
156,154,2,156,0,0,1,0,0.616053394,7,7.857142857,0.197510257,2,13.71428571,0.148539181,6.996704132,10,0,0.441896796,0,0.487198366,1,0,0
252,244,6,252,1,0,1,0,0.600555801,7,6.857142857,0.196469072,2,12.71428571,0.146365453,7.999447633,6,1,0.441896796,0,0.487198366,1,0,0
160,158,2,160,0,0,1,0,0.614035623,7,4.571428571,0.168867229,2,10.42857143,0.146144464,7.999440808,5,1,0.441896796,0,0.487198366,1,0,0
162,160,2,162,0,0,1,0,0.583951702,7,4,0.175809838,2,9.857142857,0.135755348,7.998668781,6,1,0.467619159,0,0.487198366,1,0,0
170,169,1,170,0,0,1,0,0.603308792,7,4,0.179056592,2,9.857142857,0.139765285,7.998110645,5,0,0.441896796,0,0.487198366,1,0,0
178,174,4,178,0,0,1,0,0.594866695,7,5.714285714,0.191216644,2,11.57142857,0.140490977,7.996864266,6,0,0.441896796,0,0.487198366,1,0,0
153,152,1,153,0,0,1,0,0.61311604,7,5.142857143,0.189577652,2,11,0.146884831,7.989446942,7,0,0.441896796,0,0.487198366,1,0,0
